STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max,
2498,UTTAR PRADESH,19,26,7.8,10.6,7.7,8.2,228,347,3.3,4,BDL,0.8,1300,3000,1700,3900,20,20,
1046,UTTAR PRADESH,18.8,28,7.6,12.5,7.3,8.5,214,334,2,3.2,BDL,1.47,610,2300,2100,4900,2,40,
2487,UTTAR PRADESH,18.7,26.7,7,11.7,7.4,8.5,263,338,2,2.9,BDL,1.53,680,2200,1500,4600,2,2,
1049,UTTAR PRADESH,18.8,26.9,7.1,11.8,7.8,8.4,285,369,2,2.7,0.42,1.76,680,3300,2000,7900,2,20,
10158,UTTAR PRADESH,18.8,26.9,7.7,12,7.6,8.5,285,514,2.1,2.9,0.36,1.68,610,3300,2000,9400,20,20,
2485,UTTAR PRADESH,19.5,32,6.4,9.9,7.8,8.5,238,824,1.7,3.3,-,-,500,2300,1400,4300,2,4900,
2486,UTTAR PRADESH,19.5,32,5.8,8.8,7.7,8.7,246,536,3.1,4.4,-,-,5400,17000,11000,33000,2,11000,
10153,UTTAR PRADESH,19.5,33,6.2,9.1,3.3,8.5,238,532,2.8,4.1,-,-,1700,13000,3400,22000,2,6300,
1070,UTTAR PRADESH,17.5,31.5,6.5,10.4,7.9,8.6,242,512,2.1,6.5,BDL,0.6,500,1400,1100,3400,700,6300,
1071,UTTAR PRADESH,17.5,31.5,5.8,9.5,7.8,8.7,254,546,3.5,4.2,BDL,0.7,7000,17000,14000,31000,7000,13000,
10152,UTTAR PRADESH,18,31.5,6.3,9.9,7.9,8.7,250,530,2.8,3.8,BDL,0.6,2100,13000,4600,22000,5000,9000,
10156,UTTAR PRADESH,20,31,5.7,11.5,7.4,8.6,175,388,2.5,4.4,-,-,2100,23000,3300,54000,2,20,
1073,UTTAR PRADESH,18,32,5.7,9,7.8,8.8,260,538,3.4,4.3,BDL,0.7,4300,17000,11000,31000,7000,11000,
30076,INTER-STATE,19,30,6.4,11.8,7.8,8.9,232,496,3.3,5.3,BDL,1,200,11000,400,21000,-,-,
1074,BIHAR,13,33,5.2,11.1,7.7,8.6,209,550,1.2,2,BDL,0.88,2200,160000,3900,160000,2,700,
10113,BIHAR,12,34,5.6,9.8,7.7,8.4,233,530,1.2,2.2,BDL,0.77,3300,160000,4000,160000,45,3500,
2551,BIHAR,12,34,5.6,10.1,7.7,8.6,257,565,1.3,2.4,BDL,1.35,2200,160000,13000,160000,2,1400,
3113,BIHAR,12,34,5.4,10.1,7.6,8.5,261,554,1.1,2.3,BDL,0.78,11000,160000,28000,160000,140,1700,
10131,BIHAR,18,30,6,9.6,7.4,8.4,247,382,1.3,2.6,BDL,0.44,1700,160000,7000,160000,45,1700,
10162,BIHAR,15,34,5.6,10,7.2,8.5,204,503,1.2,3,BDL,1.57,1700,35000,3300,160000,18,2200,
2564,BIHAR,16,31,5.7,9.8,7.2,8.5,166,387,1.4,3.1,BDL,1.39,1400,160000,3300,160000,40,9200,
10114,BIHAR,12,31,5.8,9.5,7.3,8.4,206,487,1.4,2.3,BDL,0.44,1700,160000,17000,160000,45,5400,
3114,BIHAR,20,34,5,9.5,7.1,8.4,214,361,1.1,3,BDL,BDL,680,160000,1400,160000,45,5400,
1077,BIHAR,18,35,5.6,10,7.5,8.5,239,388,1.3,2.4,BDL,0.65,2200,160000,3300,160000,170,2400,
2552,BIHAR,19,36,5.4,9.7,7.3,8.5,259,500,1.4,4,BDL,0.46,2200,160000,17000,160000,210,9200,
10115,BIHAR,19,36,5.4,9.8,7.3,8.4,245,500,1.4,2.9,BDL,0.67,14000,160000,28000,160000,40,9200,
1079,BIHAR,20,36,5.5,9.5,7.3,8.4,237,598,1.3,3,BDL,0.62,2200,160000,4000,160000,1300,3500,
3122,BIHAR,20,35,7.4,9.8,7.9,8.5,304,500,1.1,1.9,BDL,BDL,1700,92000,4000,160000,270,2400,
4297,BIHAR,20,34,5.6,9.6,7.6,8.4,245,405,1.2,3,BDL,0.54,1100,92000,3900,92000,20,1300,
10122,BIHAR,18,34,5.4,10.4,7.3,8.4,235,473,1.4,2.4,BDL,0.44,1300,54000,2100,92000,18,2200,
4301,BIHAR,18,34,5.4,9.7,7.5,8.9,228,401,1.2,2.4,BDL,0.41,1400,160000,2600,160000,2,270,
2553,BIHAR,18,34,5.2,8.7,7.3,8.3,240,500,1.4,3,BDL,0.98,3300,160000,17000,160000,140,2200,
2555,BIHAR,23,34,0.8,8,7.2,8.4,288,896,2,4.8,BDL,0.5,17000,160000,35000,160000,45,3500,
3115,BIHAR,18,34,5.2,9.7,7.6,8.4,230,412,1.2,2.3,BDL,0.45,3300,160000,13000,160000,68,3500,
10130,BIHAR,18,29,5.3,9.8,7.3,8.5,222,436,1.3,2.2,BDL,39,1400,160000,2400,160000,2,3500,
1817,BIHAR,16,34,5.8,9.8,7.7,8.5,215,424,1.2,2.7,BDL,0.46,1100,160000,2700,160000,93,9200,
1815,BIHAR,19,37,5.1,9.8,6.8,8.5,200,406,1.4,2,BDL,0.42,2600,160000,7900,160000,2,490,
3123,BIHAR,16,30,5.4,10.5,7.6,8.5,219,429,1.3,2.4,BDL,0.36,1400,160000,2300,160000,2,1300,
3116,BIHAR,15,30,5.3,9.8,7.5,8.5,222,370,1.2,3.3,BDL,0.43,1400,160000,3300,160000,2,1300,
1818,BIHAR,15,30,5.1,9.7,7.4,8.3,222,394,1.3,2.9,BDL,0.49,2200,160000,11000,160000,2,450,
3117,BIHAR,18,30,5,9.6,7.4,8.3,226,377,1.3,2.6,BDL,0.45,1400,160000,2700,160000,2,3500,
4398,BIHAR,17,32,5.5,9.8,7.2,8.5,241,632,1.4,6.7,BDL,3.64,1700,160000,35000,160000,790,16000,
2554,BIHAR,18,30,5.2,9.6,7.4,8.5,221,371,1.4,2.5,BDL,0.98,2200,160000,14000,160000,68,5400,
10138,BIHAR,17,32,5.5,9.5,7.2,8.2,228,856,1.2,4.2,BDL,0.63,1700,92000,2200,160000,20,490,
1819,BIHAR,16,40,6.1,9.8,7.5,8.4,222,396,1.1,2.3,BDL,2.2,1100,160000,2200,160000,20,9200,
3118,BIHAR,16,32,4.3,9.8,6.9,8.4,234,493,1.4,3.4,BDL,0.82,1700,160000,3300,160000,110,9200,
1816,BIHAR,16,30,6,9.8,7.7,8.4,220,372,1.3,2,BDL,0.37,1300,160000,3200,160000,45,2800,
10143,BIHAR,16,30,6,9.8,7.5,8.4,219,394,1.2,2.2,BDL,0.39,1700,160000,13000,160000,2,330,
30075,INTER-STATE,19,29.5,5.7,11.6,6.8,8.7,260,486,3.5,5,BDL,0.96,18,14000,450,27000,-,-,
10144,JHARKHAND,14,36,2.4,10.4,7.1,8.5,120,330,1.6,2.6,-,-,-,-,-,-,-,-,
10145,JHARKHAND,15,37,7.6,9.8,7.1,8.4,308,330,1.6,2.8,-,-,-,-,-,-,-,-,
10146,JHARKHAND,14,35,7.8,10.5,7,8.4,125,334,1.4,2.6,-,-,-,-,-,-,-,-,
1059,JHARKHAND,15,34,8.1,10.5,7,8.5,310,335,1.4,2.8,-,-,-,-,-,-,-,-,
1080,WEST BENGAL,17,32,5.3,11.8,7.87,8.85,222,410,1,4.95,0.3,0.63,800,140000,1300,300000,60,3500,
10159,WEST BENGAL,17,32,5,11.3,7.68,8.72,220,464,1.2,5.5,BDL,0.62,1700,140000,2300,300000,20,5400,
10160,WEST BENGAL,17,32,5,11.2,7.72,8.66,219,472,1.05,4.3,BDL,0.62,1300,110000,3000,350000,40,1700,
2511,WEST BENGAL,17,32,5.2,11.1,7.84,8.75,188,392,1.35,6.2,BDL,0.73,1300,300000,2300,900000,20,1400,
2506,WEST BENGAL,16,33.5,4.6,11.2,7.41,8.64,221,402,1.2,7.75,BDL,1.14,400,240000,8000,500000,70,2400,
10161,WEST BENGAL,18.5,32,4.5,11.5,7.62,8.68,235,407,1.25,6.2,0.38,0.76,8000,350000,13000,900000,130,2800,
1054,WEST BENGAL,19,32,4.4,11.5,7.86,8.7,202,373,1.85,6.7,0.35,0.75,7000,170000,14000,350000,110,5400,
1472,WEST BENGAL,18,34,4.2,12.5,7.7,8.84,228,384,1.3,4.4,0.36,0.9,7000,70000,17000,300000,130,2400,
1053,WEST BENGAL,17,34,4.1,8.1,6.92,7.98,178,559,1.55,5,BDL,2.68,49000,170000,80000,490000,40,220,
1471,WEST BENGAL,20,35,3.9,7.8,6.75,8.05,160,770,1.15,4.9,0.3,2.21,23000,130000,110000,220000,40,220,
