STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
1911,MAHARASHTRA,26,39,4.4,7.5,7.6,8.7,633,2210,3.7,11.4,0,3,275,275,1800,1800
1912,MAHARASHTRA,26,39,0,7.1,7.9,8.8,693,2251,1.2,13.2,0,3.3,350,350,1800,1800
2665,MAHARASHTRA,22,32,0,7.8,7,9,424,1405,4.1,15.2,1,4.7,225,275,1600,1800
2705,MAHARASHTRA,26,34,4.6,7.4,7.1,8.5,162,2248,3.2,9.2,0.8,2.5,195,200,1600,1600
2711,MAHARASHTRA,21,27,6.1,7.3,7.3,8.8,169,885,3.3,8.7,0.3,4.5,11,195,275,1600
2715,MAHARASHTRA,22,30,4.6,7.2,7,8.7,187,664,4.3,13.9,0.6,5.6,170,170,1600,1600
1255,ANDHRA PRADESH,28,36,4.3,6.7,7.6,8.3,557,1410,0.6,4.1,1,3.5,20,24,18,520
1256,ANDHRA PRADESH,27,30,3.7,5.4,7.4,8.4,681,1356,1,2.4,1,3.2,20,30,20,480
1257,ANDHRA PRADESH,25,29,2.4,7.6,7.2,8.7,721,1316,0.5,2.2,0.1,0.9,2,800,2,1400
30,ANDHRA PRADESH,28,30,3.7,5.9,7.2,8.4,634,1442,0.7,3.4,1,23,20,26,18,520
1198,KARNATAKA,24,28,6.1,7.9,6.5,7.7,42,65,1,1,0,0.4,78,170,310,840
1195,KARNATAKA,23,27,6.5,8.2,6.7,8.5,50,143,1,1,0,0.1,140,260,630,1200
33,KARNATAKA,23,30,5.5,7.8,7.3,8.7,114,396,1,3,0.1,0.4,270,490,1100,2400
1386,KARNATAKA,13,30,6,9.6,7.8,8.7,128,324,0.1,2,0.2,0.3,200,390,940,1700
1171,KARNATAKA,21,30,3.3,6.3,7.2,8.5,186,340,2,4,0.2,0.4,1100,1700,4300,7000
34,KARNATAKA,26,31,5.8,7.8,7.1,9.1,126,448,1,3,0.2,0.5,320,700,1400,4300
2773,KARNATAKA,22,27,5.4,8,6.6,8.6,182,482,1,3,0.2,0.6,220,700,1100,2800
2774,KARNATAKA,20,28,5.5,7.4,7.4,8.7,132,344,1,4,0.2,0.3,400,1200,1700,5400
3566,KARNATAKA,23,29,6.5,7.8,7.4,8.8,108,384,1,2,0.1,0.4,140,430,630,1700
3568,KARNATAKA,21,28,5.7,8,7.7,8.6,150,332,1,2,0.2,0.4,130,320,630,1500
3569,KARNATAKA,20,30,6.5,7.9,7.6,8.5,172,338,1,2,0.2,0.3,210,400,840,2100
3570,KARNATAKA,21,30,5,7.3,7.2,8.5,110,398,1,2,0.2,0.5,270,460,1100,1700
3571,KARNATAKA,21,30,5.9,8.3,6.9,8.5,102,380,1,2,0.1,0.4,140,330,700,1300
3581,KARNATAKA,21,28,5.2,7.8,6.4,8.7,164,440,1,3,0.2,0.5,130,330,580,1200
1327,TAMIL NADU,26,30,1.4,7.6,6.7,8.5,275,2080,0.4,17,0,1.7,110,390,260,630
3576,KARNATAKA,26,28,5.6,8,7,8.5,172,346,1,2,0.2,0.3,170,460,940,2100
3573,KARNATAKA,24,27,6,8,6.6,8.3,58,152,1,1,0.1,0.2,310,630,1400,2200
3574,KARNATAKA,24,28,6.5,8.6,6.4,7.4,30,50,1,1,0,0,45,120,200,410
3578,KARNATAKA,24,27,4.5,7.2,6.5,8.6,200,480,1,3,0.2,0.6,170,340,790,1700
3579,KARNATAKA,26,30,6.7,8.2,7.5,8.8,116,425,1,2,0.2,0.5,210,520,1100,2200
50,TAMIL NADU,23,32,3,8.4,7,8.9,40,510,0.8,5.8,0.2,1.1,61,490,140,940
51,TAMIL NADU,23,33,5,8.6,7.7,8.4,290,810,0.8,4.6,0,0.8,460,3500,700,16000
1320,TAMIL NADU,25,31,0,7.2,7.5,8.3,310,1600,0.3,25,0.1,2.1,170,22000,260,54000
1323,TAMIL NADU,23,31,4.4,8.5,7.9,8.7,300,1250,0.8,5.3,0,0.5,330,2800,470,3900
3015,TAMIL NADU,24,30,5.2,8.1,6.9,8.9,269,1630,0.5,1.6,0.2,0.6,45,1400,68,2200
1324,TAMIL NADU,22,31,3.5,8.5,7.6,8.5,396,2400,0.8,4.6,0,0.5,260,3500,470,16000
1451,TAMIL NADU,25,30,5.4,7.7,7.9,8.7,265,1200,0.6,2.3,0.2,0.6,68,1100,52,1700
31,TAMIL NADU,21,33,6.5,8.3,7.8,8.8,390,1010,0.6,2.1,0.1,1,260,1700,270,5400
3016,TAMIL NADU,21,32,5.4,8,7.9,8.9,360,1100,0.4,3.6,0.1,0.4,110,2400,170,3500
1202,TAMIL NADU,21,32,4.5,8.5,7.8,9,350,780,0.4,2.1,0.1,0.4,170,1700,240,2200
1325,TAMIL NADU,20,32,3,7.1,7.7,8.9,470,1120,0.5,11,0,1,390,2300,470,3500
1203,TAMIL NADU,20,31,3.8,7.7,7.6,8.7,430,975,0.7,3.7,0.1,1,170,2800,320,3500
1206,TAMIL NADU,26,30,5.2,8.3,7.9,8.7,350,950,0.6,2.3,0,0.4,78,2100,140,3900
3018,TAMIL NADU,24,24,5.3,7.1,7.8,8.2,330,530,1,1.4,0,1.4,210,1100,260,2200
3012,TAMIL NADU,24,33,2.8,8.5,7.6,8.5,320,730,1.2,6.3,0.1,0.8,260,2800,480,3500
3013,TAMIL NADU,25,32,4.8,9.8,6.1,9,269,590,0.4,2.9,0,0.8,130,2800,260,3500
3014,TAMIL NADU,22,35,3,8.4,7.6,8.6,280,720,0.2,5.6,0.1,0.7,260,3500,470,16000
3017,TAMIL NADU,27,32,6.2,9,8.1,8.8,350,669,0.7,3.6,0,0.4,110,1400,260,2200
1326,TAMIL NADU,27,30,6.7,8.3,7.8,9.4,220,26800,0.4,4.5,0,0.7,110,11000,210,22000
1322,TAMIL NADU,25,31,0,7.2,7.5,8.3,298,1800,0.4,43,0.1,3.3,210,1700,330,2800
1893,KARNATAKA,24,30,4.1,6.4,7.3,7.8,310,490,1,2,0.1,0.2,260,1400,1600,4300
1199,KARNATAKA,25,29,5.9,7.5,7.3,7.9,240,340,1,1,0,0.1,110,940,920,4300
1200,KARNATAKA,24,33,4.8,11.2,7.3,8,208,460,1,5,0.3,2.1,140,330000,542,790000
1166,KARNATAKA,22,29,3.9,8.3,6.7,8.7,170,742,1,5,0.2,1.1,630,1700,2400,7900
3567,KARNATAKA,22,27,0.8,6,6.4,8.8,296,698,2,7,0.3,1,700,1700,2800,7900
3580,KARNATAKA,24,28,6.4,8.4,6.7,8.6,194,434,1,2,0.2,0.5,210,700,840,3500
1165,KARNATAKA,26,29,0.3,6.3,6.9,8.2,1065,2110,3,16,0.4,16,348,4600000,542,10900000
2778,KARNATAKA,23,32,0.3,9.8,6.9,8.3,891,1312,2,9,0.6,3.4,542,4000000,542,54200000
2779,KARNATAKA,24.3,28.2,6.2,7.2,7.1,7.6,133,144,3,4,1,2.3,542,542,542,542
1196,KARNATAKA,23,30,0,7.2,7.1,7.9,138,922,1,13,0.2,1.1,200,2600,3800,11200
2772,KARNATAKA,23,30,3,6.7,7,8.5,186,782,1,9,0.2,0.9,330,2400,1400,9200
3572,KARNATAKA,23,29,5.3,7.9,7.3,8.5,124,572,1,2,0.2,0.6,310,580,1200,2200
1207,KERALA,26.6,28.6,4.9,7.6,6.1,7.9,50,121,0.2,1,0,0.8,13,90,19,140
1197,KARNATAKA,21,30,6,7.7,7,8.6,102,402,1,2,0.1,0.4,170,630,700,2200
41,KARNATAKA,22,27,4,8.2,7,8.4,154,560,1,3,0.2,0.6,270,790,1200,3500
1445,KARNATAKA,23,29,5.4,7.2,7,8.5,122,437,1,3,0.2,0.5,210,390,1100,1700
2775,KARNATAKA,23,28,3.4,6.4,7,8.5,166,550,2,5,0.2,0.6,1300,2100,5800,8400
3575,KARNATAKA,22,29,5.6,8.2,7.3,8.7,126,430,1,3,0.2,0.5,170,490,940,2200
3577,KARNATAKA,22,28,3,6.8,7.3,8.5,168,620,1,9,0.2,0.8,220,1400,1300,7900
1208,KERALA,24,31.5,6.7,7.5,6.7,8.5,78,259,0.4,2.1,0,0.6,9,200,40,430
1201,TAMIL NADU,26,28,4.6,8.5,6.6,8.3,75,310,0.4,1.4,0.1,1.9,78,2100,170,4300
1204,TAMIL NADU,26,29,5.6,7.1,6.6,8.3,125,485,0.3,1.8,0.1,2,130,1700,260,3500
1321,TAMIL NADU,25,31,3.9,8,6.5,8.3,140,220,0.5,1.9,0,1,170,1700,240,9400
1205,TAMIL NADU,25,33,4.6,7.5,7.5,8.6,270,915,0.6,5.7,0,3.1,940,2800,1400,4300
3019,TAMIL NADU,25,31,5.4,7.2,7,8.3,150,900,0.7,2.7,0,2.4,220,2800,480,16000
3020,TAMIL NADU,27.2,31.2,5.4,7.6,7.7,8.3,250,540,0.3,2.6,0,0.4,260,2200,400,4300
3021,TAMIL NADU,27.2,31.2,6.2,9.3,8,8.4,240,570,0.3,2,0.1,0.4,220,2200,320,3500
3024,TAMIL NADU,24,29,0,3.9,7.5,8.5,1950,4450,8.2,88,0.2,5.4,220000,540000000,350000,1600000000
3022,TAMIL NADU,23,32,0,6.3,7.4,8.3,1290,3150,4.8,150,0.1,4,3500,120000000,5400,210000000
1319,TAMIL NADU,23,26,5.6,8.3,7.1,8.6,130,560,0.5,1.5,0,0.5,68,940,130,1700
3023,TAMIL NADU,23,32,0,2,6.6,8.4,899,3060,20,915,0.1,4.3,940000,280000000,1400000,470000000
3473,KERALA,26,32,4.6,7.7,6.1,7.4,60,43000,0.2,2.1,0.2,0.6,40,200,70,430
3558,KARNATAKA,27,33,7,7.2,7.2,8.8,547,1594,2,3,0.1,0.4,170,1600,500,1600
3562,KARNATAKA,26,32,6.2,6.7,6.7,7.6,52,96,1,1,0,0,11,350,26,1600
3563,KARNATAKA,27,31,6.2,6.4,0.8,7.4,52,104,1,2,0,0.7,2,220,8,1600
