STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max,Latitude,Longitude
37,MAHARASHTRA,22,23,5.2,7,7.1,8.3,175,957,1.8,2.8,0.3,3.99,4.5,12,40,120,1.8,1.8,16.824045,74.64951
1310,MAHARASHTRA,21,28,6,7,6.8,8.2,101,2471,1.8,2.4,0.1,2.6,2,12,23,130,1.8,4,16.681396,74.590278
1889,KARNATAKA,22,30,7,8.1,7.3,8.3,271,1260,0.7,2.4,3.1,10.3,500,1800,1600,3200,6,500,16.5575,74.679717
1182,KARNATAKA,22,28,6.9,8.7,7.5,8.4,270,998,1,3.6,2.6,9.3,220,1800,900,3200,6,500,16.640864,74.821308
2781,KARNATAKA,28,34,5.4,10,7.4,9.4,392,3360,0.2,4.7,0.5,46.3,170,1000,500,1800,16,280,16.325069,75.899925
1181,KARNATAKA,26,34,5.3,10.1,7.5,9.5,390,3300,0.1,4.4,0.4,44.8,170,1800,500,3200,16,280,16.242436,76.370678
1028,KARNATAKA,27,29,6.6,7.6,8,8.5,350,926,2.0,2.6,0.2,0.37,110,350,540,1600,-,-,16.369172,76.656647
1170,KARNATAKA,26,31,7,7.8,8.1,8.6,470,2000,2.5,64,0.2,0.3,220,470,920,2200,-,-,16.380508,77.362725
1784,TELANGANA,25,30,4,6.2,7.6,8.5,456,1062,3.0,3.0,0.2,1.8,1.8,1.8,20,20,-,-,16.424222,77.278883
39,TELANGANA,26,30,4.6,6.1,7.5,8.5,372,982,0.4,3.0,0.1,2.4,1.8,1.8,22,22,-,-,16.338826,77.610192
1465,TELANGANA,18,23,5.9,7.4,6.7,7.6,467,1299,2.0,3.0,6.3,36.4,1.8,1.8,41,48,-,-,16.694675,79.689933
1175,ANDHRA PRADESH,16,27,5.8,7.2,6.6,7.9,243,834,0.7,2.5,0.5,6.1,1.8,200,500,1100,-,-,16.001874,78.364986
1786,"ANDHRA
PRADESH",22,28,7,7.5,7.4,7.9,369,980,0.8,1.8,0.4,1.6,1.8,3,120,1300,-,-,16.801875,80.129553
