STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
2071,GUJARAT,26,29,7.2,8.4,7.2,8.6,277,1570,1.1,2.2,0,0,�,�,80,170000,21.148919,72.743684
2070,GUJARAT,20,29,6.6,8.6,8,8.6,460,4330,1,5.2,0.43,1.46,3,1500,210,221000,21.461094,72.726327
1149,GUJARAT,24,30,2.8,6.8,7.3,8.2,154,265,0.5,10,2.272,3.39,5,90,4,9,20.461511,72.886556
1435,GUJARAT,24,35,6.6,8.6,7.2,9.7,285,5670,0.4,89,0.75,2.45,23,150,64,24000,20.342461,72.905403
1253,MAHARASHTRA,26,26,5.8,6.5,8.3,8.5,283,329,2.6,3,1.6,2.69,34,70,70,140,20.559014,74.508394
1252,MAHARASHTRA,28,29,5,7,8,8.4,496,868,2.4,3.2,4.73,5.02,34,40,110,190,20.674774,75.22279
1907,MAHARASHTRA,21,22,5,6.3,8.2,8.3,305,491,2.6,5,0.149,0.26,22,90,110,210,21.161624,73.793751
2127,MADHYA PRADESH,23,37,7.4,8.5,7.9,8.2,367,780,0.5,4.5,1.92,2.55,2,6,130,900,22.124707,78.03034
2155,MAHARASHTRA,20,27,3.6,6,7.5,9,536,812,7,14,3.78,5.99,300,900,280,900,20.88237,76.856618
1861,GUJARAT,28,33,7.2,7.8,8,8.3,2980,7780,1.4,3.7,2,2.5,23,75,2,9,20.980464,73.016757
1438,GUJARAT,25,30,5.6,8.1,7.8,8.6,662,2390,1,5,8,8.16,4,140,93,430,21.111549,73.111601
3203,GUJARAT,27,27,4.7,6.3,7.5,8.8,�,�,0.3,2,�,�,�,�,�,�,21.635384,73.064972
2652,MAHARASHTRA,19,21,4.6,5.2,7.7,8.3,561,772,2.6,8.5,2.08,2.42,34,90,90,190,21.326479,74.555815
2658,MAHARASHTRA,33,35,4.6,6.9,8,8.4,499,863,2.6,3.6,4.68,5.23,33,90,110,170,21.039758,75.067178
2659,MAHARASHTRA,19.5,24,5.3,6.6,7.9,8.4,420,647,2.6,3.4,0.254,5.53,7,70,110,140,21.275792,74.751714
