STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
3795.0,ASSAM,24.0,26.0,0.0,0.0,7.2,7.4,46.0,53.0,1.2,2.9,0.60,0.70,2.0,2.0,2.0,2.0,26.458711,93.981235
3801.0,ASSAM,23.0,24.0,0.0,0.0,6.4,6.6,322.0,336.0,1.5,2.8,1.20,1.30,2.0,2.0,2.0,2.0,24.781654,92.853933
3802.0,ASSAM,23.0,24.0,0.0,0.0,6.7,6.8,310.0,316.0,2.0,2.6,1.00,1.40,2.0,2.0,2.0,2.0,24.798461,92.797513
3805.0,ASSAM,23.0,23.0,0.0,0.0,6.1,6.5,136.0,138.0,2.0,2.6,1.00,1.10,2.0,2.0,2.0,2.0,24.864102,92.358579
3813.0,ASSAM,22.0,30.0,0.0,0.0,7.1,7.2,241.0,441.0,1.3,3.5,1.00,1.00,2.0,300.0,2.0,2.0,26.167846,91.829173
3815.0,ASSAM,25.0,27.0,0.0,0.0,6.8,7.5,61.0,534.0,1.1,1.5,0.80,1.00,2.0,2.0,2.0,2.0,26.124278,91.809578
3816.0,ASSAM,24.0,26.0,0.0,0.0,6.9,7.5,60.0,527.0,1.8,1.9,0.80,1.00,2.0,2.0,2.0,2.0,26.105895,91.788621
3817.0,ASSAM,24.0,25.0,0.0,0.0,7.1,7.9,195.0,404.0,1.2,1.3,0.80,1.00,2.0,2.0,2.0,2.0,26.162529,91.759013
3818.0,ASSAM,25.0,26.0,0.0,0.0,7.2,7.3,55.0,289.0,1.0,1.6,1.20,1.40,2.0,2.0,2.0,2.0,26.172514,91.687694
4001.0,ASSAM,25.0,27.0,0.0,0.0,7.5,7.9,34.0,318.0,1.3,2.8,0.90,1.20,2.0,2.0,2.0,2.0,26.131082,91.821186
4002.0,ASSAM,25.0,26.0,0.0,0.0,6.8,7.3,35.0,193.0,1.6,2.7,0.70,1.10,2.0,2.0,2.0,2.0,26.168679,91.728525
4003.0,ASSAM,26.0,26.0,0.0,0.0,7.2,7.2,86.0,86.0,1.7,1.7,0.80,0.80,2.0,2.0,2.0,2.0,26.640064,92.817174
4007.0,ASSAM,24.0,24.0,0.0,0.0,7.2,7.2,269.0,269.0,0.9,0.9,3.70,3.70,2.0,2.0,2.0,2.0,27.000201,94.83739
4008.0,ASSAM,24.0,24.0,0.0,0.0,7.5,7.5,203.0,203.0,1.7,1.7,1.80,1.80,2.0,2.0,2.0,2.0,26.802778,94.698479
4303.0,ASSAM,24.0,27.0,0.0,0.0,7.7,7.8,34.0,317.0,1.2,2.5,0.80,1.50,2.0,2.0,2.0,2.0,26.164973,91.830489
4327.0,ASSAM,28.0,28.0,0.0,0.0,6.9,6.9,404.0,404.0,2.8,2.8,0.80,0.80,2.0,2.0,2.0,2.0,26.712883,92.20567
4328.0,ASSAM,27.0,27.0,0.0,0.0,6.5,6.5,207.0,207.0,1.5,1.5,0.80,0.80,2.0,2.0,2.0,2.0,26.70409,92.450585
4330.0,ASSAM,24.0,24.0,0.0,0.0,6.5,6.5,102.0,102.0,1.2,1.2,0.60,0.60,2.0,2.0,2.0,2.0,24.883995,92.878914
4333.0,ASSAM,28.0,28.0,0.0,0.0,7.4,7.4,240.0,240.0,1.2,1.2,0.50,0.50,2.0,2.0,2.0,2.0,27.126326,94.741545
4335.0,ASSAM,27.0,27.0,0.0,0.0,7.0,7.0,144.0,144.0,1.6,1.6,0.30,0.30,2.0,2.0,2.0,2.0,26.811289,94.520046
4338.0,ASSAM,25.0,25.0,0.0,0.0,7.3,7.3,148.0,148.0,1.0,1.0,0.40,0.40,2.0,2.0,2.0,2.0,26.930067,94.818487
4339.0,ASSAM,32.0,32.0,0.0,0.0,7.3,7.3,88.0,88.0,1.5,1.5,0.80,0.80,2.0,2.0,2.0,2.0,26.350254,92.684866
4340.0,ASSAM,30.0,30.0,0.0,0.0,7.3,7.3,306.0,306.0,1.2,1.2,0.70,0.70,2.0,2.0,2.0,2.0,26.352638,92.706719
1825.0,BIHAR,26.0,32.0,,,7.3,7.4,527.0,694.0,,,0.01,0.48,2.0,2.0,2.0,2.0,25.579122,85.253317
1826.0,BIHAR,25.0,30.0,,,7.2,7.4,478.0,573.0,,,0.01,0.49,2.0,1600.0,2.0,1600.0,25.593237,85.174164
1827.0,BIHAR,26.0,27.0,,,7.1,7.4,517.0,667.0,,,0.34,0.67,2.0,2.0,2.0,2.0,25.620924,85.159936
1828.0,BIHAR,26.0,27.0,,,7.1,7.4,544.0,693.0,,,0.13,0.64,2.0,11.0,2.0,22.0,25.609619,85.136893
1829.0,BIHAR,26.0,27.0,,,7.2,7.3,520.0,528.0,,,0.03,0.10,2.0,33.0,2.0,33.0,25.611612,85.09125
1830.0,BIHAR,27.0,27.0,,,7.7,7.7,651.0,651.0,,,0.57,0.57,23.0,23.0,33.0,33.0,26.122167,85.382451
1831.0,BIHAR,27.0,27.0,,,7.6,7.6,641.0,641.0,,,0.77,0.77,,,2.0,2.0,26.123515,85.378269
1832.0,BIHAR,28.0,28.0,,,7.5,7.5,673.0,673.0,,,0.10,0.10,,,,,25.413449,86.139054
1833.0,BIHAR,19.0,19.0,,,7.4,7.4,667.0,667.0,,,0.06,0.06,,,,,25.415751,86.135881
1834.0,BIHAR,27.0,27.0,,,7.4,7.4,682.0,682.0,,,0.03,0.03,,,,,25.783319,87.466672
1835.0,BIHAR,27.0,27.0,,,7.1,7.1,337.0,337.0,,,0.23,0.23,49.0,49.0,140.0,140.0,25.772242,87.467227
1836.0,BIHAR,15.0,15.0,,,7.4,7.4,882.0,882.0,,,0.72,0.72,280.0,280.0,1600.0,1600.0,25.419944,86.129972
