STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FAECAL_STREPTOCOCCI_Min,FAECAL_STREPTOCOCCI_Max,TOTAL_DISSOLVED_SOLIDS_Min,TOTAL_DISSOLVED_SOLIDS_Max,FLUORIDE_Min,FLUORIDE_Max,ARSENIC_Min,ARSENIC_Max,Latitude,Longitude
2590,BIHAR,25,25,7.6,7.6,523,523,-,-,BDL,BDL,280,280,280,280,-,-,-,-,0.83,0.83,-,-,26.345964,86.071781
2591,BIHAR,30,30,7.7,7.7,979,979,-,-,1.1,1.1,11,11,40,40,-,-,-,-,1.01,1.01,-,-,25.139348,85.451156
2592,BIHAR,27,27,7.2,7.2,2110,2110,-,-,0.93,0.93,49,49,70,70,-,-,-,-,0.45,0.45,-,-,25.124061,85.459475
2593,BIHAR,29,29,7.1,7.1,1370,1370,-,-,0.38,0.38,4,4,6,6,-,-,-,-,0.56,0.56,-,-,24.880028,85.529992
2594,BIHAR,-,-,7,7,1260,1260,-,-,5.81,5.81,2,2,13,13,-,-,816,816,0.84,0.84,-,-,25.870544,86.601375
2595,BIHAR,28,28,7.5,7.5,981,981,-,-,BDL,BDL,1600,1600,1600,1600,-,-,-,-,0.6,0.6,-,-,25.862969,85.781044
2596,BIHAR,27,27,-,-,308,308,-,-,BDL,BDL,1600,1600,1600,1600,-,-,198,198,BDL,BDL,-,-,26.588721,85.501282
2597,BIHAR,-,-,7.3,7.3,524,524,-,-,-,-,-,-,-,-,-,-,340,340,0.7,0.7,-,-,26.210096,84.365362
2600,BIHAR,26,26,7,7,841,841,-,-,-,-,4,4,6,6,-,-,-,-,0.3,0.3,-,-,25.683822,85.354964
3138,BIHAR,26,26,7.8,7.8,452,452,-,-,1.9,1.9,13,13,23,23,-,-,-,-,BDL,BDL,-,-,25.555753,84.661464
3139,BIHAR,-,-,6.5,6.5,437,437,-,-,5.9,5.9,1700,1700,160000,160000,18,18,386,386,0.81,0.81,-,-,26.130901,87.44426
3140,BIHAR,29,29,7.7,7.7,497,497,-,-,BDL,BDL,27,27,110,110,-,-,332,332,0.35,0.35,-,-,26.801253,84.503617
3141,BIHAR,28,28,7.1,7.1,793,793,-,-,BDL,BDL,13,13,33,33,-,-,-,-,0.27,0.27,-,-,24.696722,84.986056
3143,BIHAR,25,25,7,7,1084,1084,-,-,0.42,0.42,BDL,BDL,BDL,BDL,-,-,1116,1116,BDL,BDL,-,-,27.127814,84.067542
3144,BIHAR,27,27,8,8,1750,1750,-,-,0.61,0.61,540,540,920,920,-,-,-,-,0.62,0.62,-,-,25.471956,85.707546
3146,BIHAR,26,26,7.7,7.7,523,523,-,-,0.62,0.62,-,-,920,920,-,-,-,-,BDL,BDL,-,-,25.549911,84.150194
3147,BIHAR,25,25,7.6,7.6,597,597,-,-,BDL,BDL,920,920,920,920,-,-,-,-,0.43,0.43,-,-,26.592486,86.137611
3148,BIHAR,-,-,7.5,7.5,946,946,-,-,5.18,5.18,920,920,920,920,-,-,-,-,0.44,0.44,-,-,25.309172,86.489908
3150,BIHAR,26,26,7.2,7.2,583,583,-,-,1.44,1.44,23,23,23,23,-,-,-,-,0.29,0.29,-,-,25.644867,84.873763
3152,BIHAR,29,29,8,8,317,317,-,-,BDL,BDL,21,21,39,39,-,-,150,150,0.24,0.24,-,-,27.107417,84.467131
3154,BIHAR,28,28,7.4,7.4,432,432,-,-,4.74,4.74,170,170,280,280,79,79,-,-,0.63,0.63,-,-,24.789593,84.999556
3155,BIHAR,-,-,7,7,480,480,-,-,BDL,BDL,2,2,79,79,-,-,318,318,-,-,-,-,26.114017,86.601053
