STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
2452.0,DAMAN & DIU,27.0,27.0,7.0,7.4,1649.0,1649.0,11.0,11.0,1.6,1.6,,,,,20.384203,72.883423
2453.0,"DADRA &
NAGAR HAVELI",27.0,27.0,8.0,7.8,446.0,446.0,10.0,10.0,0.0,0.0,,,,,20.126292,73.062664
2454.0,"DADRA &
NAGAR HAVELI",27.0,27.0,7.0,7.3,569.0,569.0,10.0,10.0,2.6,2.6,,,,,20.271932,72.998411
2455.0,"DADRA & NAGAR
HAVELI",27.0,27.0,8.0,7.5,1564.0,1564.0,20.0,20.0,0.0,0.0,,,,,20.242592,73.014025
2456.0,"DADRA &
NAGAR HAVELI",27.0,27.0,7.0,7.3,1281.0,1281.0,12.0,12.0,2.9,2.9,,,,,20.310619,72.960967
2457.0,"DADRA & NAGAR
HAVELI",28.0,28.0,7.0,7.3,1010.0,1010.0,10.0,10.0,0.7,0.7,,,,,20.293589,73.068986
2458.0,"DADRA & NAGAR
HAVELI",28.0,28.0,7.0,7.4,1733.0,1733.0,10.0,10.0,0.6,0.6,,,,,20.316669,72.966672
1440.0,DAMAN & DIU,27.0,31.0,7.0,7.9,648.0,1341.0,5.0,10.0,0.2,7.8,,,,,20.407256,72.876327
2448.0,DAMAN & DIU,27.0,27.0,7.0,6.9,546.0,546.0,10.0,10.0,3.6,3.6,,,,,20.447361,72.857456
2449.0,DAMAN & DIU,26.0,26.0,7.0,7.2,1732.0,1732.0,12.0,12.0,0.6,0.6,,,,,20.400458,72.878133
2450.0,DAMAN & DIU,28.0,28.0,7.0,7.3,518.0,518.0,10.0,10.0,1.5,1.5,,,,,20.426775,72.847097
2451.0,"DAMAN &
DIU",26.0,26.0,7.0,7.0,580.0,580.0,10.0,10.0,2.3,2.3,,,,,20.40115,72.892161
2452.0,DAMAN & DIU,27.0,27.0,7.0,7.4,1649.0,1649.0,11.0,11.0,1.6,1.6,,,,,20.384203,72.883423
2453.0,"DADRA &
NAGAR HAVELI",27.0,27.0,8.0,7.8,446.0,446.0,10.0,10.0,0.0,0.0,,,,,20.126292,73.062664
