STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
2430,CANAL,ODISHA,21,30,1.4,8.2,7.2,8.2,139,984,0.8,5.7,0.188,2.844,110,54000,330,92000
3950,CANAL,ODISHA,24,28,6.6,8.2,7.6,7.9,184,198,1.1,2.5,0.628,0.952,160000,160000,160000,160000
3951,CANAL,ODISHA,24,28,6.2,8.1,7.7,7.8,195,202,1.1,3.2,0.229,0.701,92000,92000,92000,160000
3952,CANAL,ODISHA,24,29,5.9,7.8,7.3,7.7,154,299,1.5,3.3,0.452,0.587,16000,160000,16000,160000
3958,CANAL,ODISHA,20,31,6.2,13.3,6.7,8.4,108,248,0.7,4.9,0.096,1.317,330,9200,790,16000
3959,CANAL,ODISHA,20,33,4.6,9.6,6.8,8.2,161,284,0.6,4,0.12,1.541,130,17000,330,16000
3960,CANAL,ODISHA,23,31,2.9,8.9,7.4,8.6,153,326,0.4,2,0.024,0.999,40,9200,140,16000
2932,CANAL,RAJASTHAN,21,27,3.98,7.2,7.71,8.31,260,380,1.4,2.21,1.82,2.8,7,20,21,93
2933,CANAL,RAJASTHAN,16.4,32.2,3.82,7.01,7.54,8.02,230,520,0.9,2.77,1.14,2.74,4,28,7,93
2934,CANAL,RAJASTHAN,16.6,33.5,3.74,40.67,7.4,7.9,250,500,1.12,2.94,1.84,2.74,7,21,20,75
1729,CANAL,TRIPURA,20.5,30,3.28,8.88,5.79,8.99,151,291,6.38,12.58,0.46,1.09,210,350,430,710
3387,CANAL,TRIPURA,20.5,28.5,5.34,6.82,6.5,7.91,105,166,0.28,1.02,0.13,0.42,110,170,180,280
3388,CANAL,TRIPURA,20,29,5.14,6.7,6.05,7.33,71,132,0.16,0.88,0.16,0.46,120,170,220,350
3389,CANAL,TRIPURA,19,28.5,5.38,6.98,6.55,8.15,9,151,0.2,0.74,0.13,0.58,110,150,210,350
3390,CANAL,TRIPURA,19.5,28,5.08,6.6,6.6,8.48,77,154,0.22,0.58,0.13,0.59,110,170,210,350
4198,CANAL,TRIPURA,24,29.5,5.08,6.7,6.29,7.2,103,155,0.6,1.84,0.33,0.6,140,280,280,430
4199,CANAL,TRIPURA,25,29.5,6.22,7.4,6.08,7.6,106,161,1.5,3.86,0.4,0.55,170,350,350,540
2726,CANAL,UTTARAKHAND,16,22,8,9.8,7.48,8.41,,,1,1,,,,,70,170
3998,CANAL,UTTARAKHAND,16,21,8.8,10.2,7.52,8.25,,,1,1,,,,,70,170
3999,CANAL,UTTARAKHAND,16,22,9,10,7.58,8.34,,,1,1,,,,,60,110
2512,CANAL,WEST BENGAL,19,33,0,0,7.02,8.59,473,1994,3.9,20,0.04,4.27,1400000,5000000,2800000,9000000
2513,CANAL,WEST BENGAL,20,33,0,0,7.05,8.12,694,1056,13.8,63,0.09,5.02,900000,9000000,1700000,16000000
2267,CREEK,GOA,25.3,32,4.2,11.1,6.46,8.45,200,47260,0.4,4.6,0.31,56.785,2300,13000,4900,24000
4013,BEACH,GOA,27,29,5.2,7.6,6.8,8.09,12210,52600,1.3,2.9,BDL,0.254,23,350,33,920
4014,BEACH,GOA,26,30,5.8,7.7,7.02,8.2,15250,477710,0.5,3,BDL,20.461,13,790,23,2200
