STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FAECAL_STREPTOCOCCI_Min,FAECAL_STREPTOCOCCI_Max,TOTAL_DISSOLVED_SOLIDS_Min,TOTAL_DISSOLVED_SOLIDS_Max,FLUORIDE_Min,FLUORIDE_Max,ARSENIC_Min,ARSENIC_Max,,,,,,,,,,,,,,,,,,,,
4007,ASSAM,22,28,7,7.2,242,314,1.3,1.4,0.5,0.8,BDL,BDL,BDL,BDL,-,-,136,176,BDL,0.21,-,-,,,,,,,,,,,,,,,,,,,,
4008,ASSAM,20,24,7,7.3,241,303,1.1,1.7,0.6,0.8,BDL,BDL,BDL,BDL,-,-,148,170,0.21,0.22,-,-,,,,,,,,,,,,,,,,,,,,
4303,ASSAM,27,27,7.2,7.2,66,66,1.6,1.6,0.5,0.5,BDL,BDL,BDL,BDL,-,-,44,44,BDL,BDL,-,-,,,,,,,,,,,,,,,,,,,,
4327,ASSAM,26,26,7.2,7.2,57,57,1.5,1.5,0.6,0.6,BDL,BDL,BDL,BDL,-,-,50,50,0.24,0.24,-,-,,,,,,,,,,,,,,,,,,,,
4328,ASSAM,26,26,7.2,7.2,57,57,1.8,1.8,0.6,0.6,BDL,BDL,BDL,BDL,-,-,38,38,0.23,0.23,-,-,,,,,,,,,,,,,,,,,,,,
4330,ASSAM,23,23,6.9,6.9,129,129,1.8,1.8,0.5,0.5,BDL,BDL,BDL,BDL,-,-,78,78,BDL,BDL,-,-,,,,,,,,,,,,,,,,,,,,
4333,ASSAM,25,26,7.5,7.6,251,266,1.1,1.8,0.6,0.8,BDL,BDL,BDL,910,-,-,142,150,0.22,0.24,-,-,,,,,,,,,,,,,,,,,,,,
4335,ASSAM,24,27,6.8,7,195,249,1.2,1.8,0.6,0.6,BDL,BDL,BDL,BDL,-,-,118,140,BDL,0.23,-,-,,,,,,,,,,,,,,,,,,,,
4338,ASSAM,18,27,7.2,7.4,35,262,1.3,2.2,0.6,0.8,BDL,BDL,BDL,BDL,-,-,20,150,0.23,0.24,-,-,,,,,,,,,,,,,,,,,,,,
4340,ASSAM,20,20,7.2,7.2,47,47,1.8,1.8,0.6,0.6,BDL,BDL,BDL,BDL,-,-,32,32,0.21,0.21,-,-,,,,,,,,,,,,,,,,,,,,
1825,BIHAR,24,24,7.3,7.3,1590,1590,-,-,6.04,6.04,79,79,79,79,18,18,1168,1168,0.38,0.38,-,-,,,,,,,,,,,,,,,,,,,,
1826,BIHAR,23,23,7.6,7.6,538,538,-,-,BDL,BDL,49,49,49,49,-,-,318,318,0.75,0.75,-,-,,,,,,,,,,,,,,,,,,,,
1827,BIHAR,25,25,7.7,7.7,600,600,-,-,BDL,BDL,33,33,46,46,-,-,-,-,0.82,0.82,-,-,,,,,,,,,,,,,,,,,,,,
1828,BIHAR,27,27,7.6,7.6,659,659,-,-,0.4,0.4,79,79,1600,1600,-,-,-,-,0.7,0.7,-,-,,,,,,,,,,,,,,,,,,,,
1829,BIHAR,23,23,7.7,7.7,602,602,-,-,BDL,BDL,14,14,22,22,-,-,-,-,0.43,0.43,-,-,,,,,,,,,,,,,,,,,,,,
1830,BIHAR,26,26,7.3,7.3,1110,1110,-,-,0.7,0.7,-,-,17,17,-,-,-,-,0.25,0.25,-,-,,,,,,,,,,,,,,,,,,,,
