STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,TOTAL_DISSOLVED_SOLIDS_Min,TOTAL_DISSOLVED_SOLIDS_Max,FLUORIDE_Min,FLUORIDE_Max,ARSENIC_Min,ARSENIC_Max
2596,BIHAR,28,28,7.54,8.1,320,334,-,-,BDL,BDL,4.5,220,6.8,350,190,228,BDL,BDL,-,-
2597,BIHAR,23,24,7.6,7.7,416,1300,-,-,2.34,2.34,17,240,27,540,326,846,0.28,0.59,-,-
2598,BIHAR,28,29,7.22,8.2,352,1180,-,-,0.46,0.86,BDL,BDL,2,2,268,822,0.26,1.52,-,-
2599,BIHAR,28,38,7.27,7.3,860,897,-,-,0.54,0.65,BDL,BDL,2,2,574,654,0.71,1.01,-,-
2600,BIHAR,22,29,7.22,7.49,976,1130,-,-,1.24,2.31,79,79,240,240,634,792,0.54,0.66,-,-
3138,BIHAR,19,25,7.16,7.46,801,926,-,-,1.71,2.89,920,920,1600,1600,496,630,0.48,0.55,-,-
3139,BIHAR,26,26,6.91,7.1,503,719,-,-,1.37,5.58,23,23,170,170,362,470,0.24,0.24,-,-
3140,BIHAR,22,30,7.02,7.23,361,411,-,-,BDL,BDL,13,13,49,49,280,308,0.22,0.22,-,-
3141,BIHAR,27,27,7.34,7.35,971,999,-,-,0.46,0.46,BDL,BDL,BDL,BDL,670,788,0.54,1.74,-,-
3142,BIHAR,27,29,7.47,7.63,583,683,-,-,2.32,2.32,33,33,49,130,428,472,0.52,0.94,-,-
3143,BIHAR,22,25,6.78,6.91,1040,1310,-,-,2.48,5.4,BDL,BDL,BDL,BDL,624,1012,BDL,BDL,-,-
3144,BIHAR,24,25,6.74,7.81,378,773,-,-,0.31,0.31,BDL,BDL,BDL,BDL,244,534,0.55,0.55,-,-
3145,BIHAR,27,27,6.73,7.31,643,1010,-,-,3.96,7.58,350,350,920,920,474,748,0.31,0.37,-,-
3146,BIHAR,19,25,7.16,7.46,581,926,-,-,0.39,2.89,BDL,BDL,BDL,BDL,398,630,0.48,0.67,-,-
3147,BIHAR,27,28,7.25,8.04,633,640,-,-,BDL,BDL,22,23,43,79,368,436,0.61,0.7,-,-
3148,BIHAR,23,28,7.5,7.56,782,832,-,-,2.19,3.32,280,280,350,350,576,578,0.38,0.51,-,-
3149,BIHAR,27,28,7.44,7.47,597,1290,-,-,0.45,0.45,BDL,BDL,BDL,BDL,446,918,0.54,0.73,-,-
3150,BIHAR,24,25,7.24,7.39,667,803,-,-,1.66,1.79,4.5,4.5,13,13,518,540,0.54,0.73,-,-
3151,BIHAR,29,29,7.14,7.38,1030,1530,-,-,1.25,1.25,BDL,BDL,BDL,BDL,740,1124,0.61,0.92,-,-
3152,BIHAR,22,29,6.94,7.12,238,248,-,-,BDL,BDL,23,23,33,33,162,186,BDL,BDL,-,-
3153,BIHAR,28,29,7.33,7.48,844,1400,-,-,0.6,2.7,130,130,240,240,656,1032,0.76,0.84,-,-
3154,BIHAR,27,28,7.18,7.45,909,1390,-,-,1.89,6.42,27,27,130,130,666,960,0.9,1.33,-,-
3155,BIHAR,25,27,6.84,7.1,711,967,-,-,0.56,1.83,BDL,BDL,BDL,BDL,440,642,0.21,0.21,-,-
3156,BIHAR,27,28,7.24,7.29,910,1210,-,-,0.56,0.6,350,350,920,920,618,786,0.43,0.61,-,-
3157,BIHAR,19,26,7.25,7.62,971,1150,-,-,3.51,3.51,11,11,22,22,632,910,0.34,0.78,-,-
3158,BIHAR,28,28,6.89,7.24,652,701,-,-,1.78,3.7,920,920,1600,1600,462,540,0.69,1.06,-,-
3159,BIHAR,19,25,7,7.28,689,721,-,-,1.28,1.8,BDL,BDL,2,2,454,520,0.53,0.66,-,-
3160,BIHAR,21,29,6.88,7.25,289,306,-,-,0.62,0.62,BDL,BDL,BDL,BDL,196,220,0.23,0.23,-,-
3161,BIHAR,23,25,6.91,7.1,696,920,BDL,BDL,0.49,0.49,BDL,BDL,BDL,BDL,468,598,BDL,BDL,-,-
3162,BIHAR,23,23,7.77,7.77,759,759,-,-,BDL,BDL,BDL,BDL,BDL,BDL,494,494,0.77,0.77,-,-
2041,CHANDIGARH,26,27.5,7,7.1,785,882,1.5,1.5,3.9,3.9,BDL,BDL,33,33,394,472,0.26,0.26,BDL,BDL
2043,CHANDIGARH,28,28,7.6,7.6,948,948,BDL,BDL,1.7,1.7,BDL,BDL,79,79,422,422,0.22,0.22,BDL,BDL
2044,CHANDIGARH,27,28,7,7,689,968,BDL,BDL,3.7,4.5,BDL,BDL,27,49,308,428,BDL,BDL,BDL,BDL
2045,CHANDIGARH,27,28,7.1,7.4,599,859,1.1,1.2,4.7,4.9,BDL,BDL,33,41,276,466,0.53,0.54,BDL,BDL
1622,CHHATTISGARH,28,33,7.5,7.8,316,316,1.1,1.1,0.46,0.46,BDL,BDL,BDL,BDL,270,270,-,-,-,-
1623,CHHATTISGARH,28.5,33,7.5,8,310,312,1.2,1.2,0.46,0.47,BDL,BDL,2.1,2.1,270,270,-,-,-,-
3171,CHHATTISGARH,24,28,7.21,7.52,1425,1425,3,8,0.1,40,40,40,34,34,90,200,-,-,-,-
3172,CHHATTISGARH,26.2,26.3,7.01,7.37,375,3692,BDL,BDL,1.27,18.79,2,2,2.2,12,104,149,-,-,-,-
3173,CHHATTISGARH,26.1,26.2,7.05,7.41,496,4565,BDL,BDL,1.21,15.63,2,2,2.2,8,95,166,-,-,-,-
3174,CHHATTISGARH,26.3,26.4,7.23,7.26,242,1602,BDL,BDL,1.68,20.69,2,2,2,2,110,162,-,-,-,-
1440,"DAMAN AND DIU, DADRA AND NAGAR
HAVELI",29.3,30.1,7.33,7.36,889,913,BDL,BDL,4.03,4.23,6,10,12,18,602,604,0.33,0.33,0.01,0.01
2448,"DAMAN AND DIU, DADRA AND NAGAR
HAVELI",29.1,30.1,7.33,7.37,489,502,BDL,BDL,3.96,4.18,28,38,62,72,322,341,BDL,BDL,0.01,0.01
2449,"DAMAN AND DIU, DADRA AND NAGAR
HAVELI",29.1,29.9,7.35,7.44,2025,2109,BDL,BDL,1.78,1.82,6,8,12,12,1296,1350,0.29,0.31,0.01,0.01
2450,"DAMAN AND DIU, DADRA AND NAGAR
HAVELI",29.6,29.8,7.12,7.34,703,765,BDL,BDL,2.2,2.5,4,6,10,14,449,489,0.62,0.63,0.01,0.01
