1965,GUJARAT,28,28,8,8,1612,1612,2,2,0.1,0.1,3,3,3,3
1966,GUJARAT,28,30,7,8,1460,3268,1.3,1.6,0.1,0.8,3,3,4,4
1967,GUJARAT,28,30,8,8.1,910.2,1050,0.2,0.7,0,0,,,,
1968,GUJARAT,28,31,8,7.8,742,812.8,0.2,0.6,0,0,,,,
1969,GUJARAT,27,29,8,7.6,900,1072,0.2,0.4,0.2,0.8,,,,
2084,GUJARAT,28,28,8,8.1,,,1.8,1.9,0,0,,,,
2086,GUJARAT,28,28,7,7.3,58936,58936,4.1,4.1,0.1,0.1,23,23,160,160
2087,GUJARAT,28,28,8,8.2,3016,3016,0.7,2.5,0,0.7,2,3,2,4
2088,GUJARAT,28,29,7,7.8,2352,18546,1,2.7,0,0.4,2,9.2,2,38
2089,GUJARAT,27,27,8,7.9,2450,2450,1.8,1.8,0,0,2,2,2,2
2090,GUJARAT,28,28,7,7.9,2810,12086,0.8,2.8,0,0.1,2,4,2,9.2
2091,GUJARAT,26,29,8,7.8,1966,2196,1.9,3.1,0,0.1,2,3,2,3
2092,GUJARAT,28,29,7,7.7,820,1480,1.6,1.9,0.1,0.6,3,3,3,11
2093,GUJARAT,26,28,8,8.2,1470,2190,0.9,2.1,0,0.2,3,3,2,9
2095,GUJARAT,,,7,7.4,,,0.8,1,0,0,,,,
2096,GUJARAT,,,7,7.9,4128,4320,1.1,1.1,0.3,0.6,1.8,1.8,,
2097,GUJARAT,28,28,8,8.5,2048,4762,1.1,1.5,0.2,0.3,1.8,1.8,1.8,1.8
2098,GUJARAT,25,27,8,7.8,,,,,1.3,6.4,,,,
1970,GUJARAT,24,33,8,8,,,,,0.1,3.3,,,,
3207,GUJARAT,28,28,8,8,100,100,1,1,0.7,0.7,2,2,2,2
3208,GUJARAT,26,26,8,7.8,,,,,0.1,0.1,,,,
3210,GUJARAT,26,30,7,7.8,,,0.9,2.3,0,0.2,1.8,9.1,1.8,64
3211,GUJARAT,24,30,8,7.9,,,1.8,2.4,0.1,0.2,1.8,3,1.8,15
3212,GUJARAT,33,34,8,8.9,1765,1790,1.3,1.7,1,5.4,1.8,1.8,1.8,1.8
3213,GUJARAT,33,33,8,8.9,1178,1210,,,0.3,5.7,1.8,1.8,1.8,1.8
3214,GUJARAT,33,33,8,8.9,1370,1511,,,1.3,3.7,1.8,1.8,1.8,1.8
3216,GUJARAT,33,33,8,9,1964,1990,,,0,5.4,1.8,1.8,1.8,1.8
3217,GUJARAT,33,34,8,9,1560,1657,,,2.4,8.8,1.8,1.8,1.8,1.8
3218,GUJARAT,28,28,8,7.7,,,1.2,1.7,1.7,5.8,1.8,1.8,1.8,1.8
3219,GUJARAT,25,25,8,7.6,1365,1365,,,2,2,1.8,1.8,1.8,1.8
3220,GUJARAT,24,29,8,8.1,,,2,5,0.1,1.7,2,2,2,2
3221,GUJARAT,29,29,7,7.4,546,546,0.8,0.8,0.7,0.7,2,2,2,2
3222,GUJARAT,30,30,8,7.6,4540,4540,0.8,0.8,0.6,0.6,2,2,2,2
3223,GUJARAT,28,32,8,8.2,,,1.2,2.7,0,9,1.8,1.8,1.8,1.8
3224,GUJARAT,27,27,8,8.8,1246,3255,1.1,1.4,0.4,1.8,1.8,1.8,1.8,1.8
3226,GUJARAT,27,30,8,8.5,,,1.2,2.6,1.8,2.2,1.8,1.8,1.8,1.8
3227,GUJARAT,29,32,8,8.1,,,1.3,1.3,1.7,1.8,1.8,1.8,1.8,1.8
3236,GUJARAT,28,28,9,8.5,1630,1710,1.1,1.3,0.3,0.3,1.8,1.8,1.8,1.8
3237,GUJARAT,28,28,8,8.1,3212,4280,1.2,1.6,0.2,0.2,1.8,1.8,1.8,1.8
3238,GUJARAT,,,8,7.9,4076,6120,3.1,5,0.9,1.2,2,2,2,2
3239,GUJARAT,,,8,7.7,2120,2120,5,5,1.1,1.1,2,2,2,2
