STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FAECAL_STREPTOCOCCI_Min,FAECAL_STREPTOCOCCI_Max
4335,ASSAM,27.0,27.0,0.0,0.0,7.0,7.0,144,144,1.6,1.6,0.30,0.30,2,2,2,2
4338,ASSAM,25.0,25.0,0.0,0.0,7.3,7.3,148,148,1.0,1.0,0.40,0.40,2,2,2,2
4339,ASSAM,32.0,32.0,0.0,0.0,7.3,7.3,88,88,1.5,1.5,0.80,0.80,2,2,2,2
4340,ASSAM,30.0,30.0,0.0,0.0,7.3,7.3,306,306,1.2,1.2,0.70,0.70,2,2,2,2
1825,BIHAR,26.0,32.0,,,7.3,7.4,527,694,,,0.01,0.48,2,2,2,2
1826,BIHAR,25.0,30.0,,,7.2,7.4,478,573,,,0.01,0.49,2,1600,2,1600
1827,BIHAR,26.0,27.0,,,7.1,7.4,517,667,,,0.34,0.67,2,2,2,2
1828,BIHAR,26.0,27.0,,,7.1,7.4,544,693,,,0.13,0.64,2,11,2,22
1829,BIHAR,26.0,27.0,,,7.2,7.3,520,528,,,0.03,0.10,2,33,2,33
1830,BIHAR,27.0,27.0,,,7.7,7.7,651,651,,,0.57,0.57,23,23,33,33
1831,BIHAR,27.0,27.0,,,7.6,7.6,641,641,,,0.77,0.77,,,2,2
1832,BIHAR,28.0,28.0,,,7.5,7.5,673,673,,,0.10,0.10,,,,
1833,BIHAR,19.0,19.0,,,7.4,7.4,667,667,,,0.06,0.06,,,,
1834,BIHAR,27.0,27.0,,,7.4,7.4,682,682,,,0.03,0.03,,,,
1835,BIHAR,27.0,27.0,,,7.1,7.1,337,337,,,0.23,0.23,49,49,140,140
1836,BIHAR,15.0,15.0,,,7.4,7.4,882,882,,,0.72,0.72,280,280,1600,1600
1837,BIHAR,15.0,15.0,,,7.2,7.2,370,370,,,0.11,0.11,11,11,11,11
1838,BIHAR,21.0,21.0,,,7.4,7.4,1480,1480,,,0.40,0.40,920,920,1600,1600
1839,BIHAR,18.0,18.0,,,7.3,7.3,1810,1810,,,6.93,6.93,,,,
1840,BIHAR,16.0,16.0,,,7.4,7.4,740,740,,,0.08,0.08,13,13,33,33
2594,BIHAR,30.0,30.0,,,7.1,7.1,314,314,,,0.03,0.03,,,,
2595,BIHAR,32.0,32.0,,,7.9,7.9,1240,1240,,,0.23,0.23,,,,
2596,BIHAR,27.0,27.0,,,8.0,8.0,361,361,,,0.02,0.02,,,,
2598,BIHAR,25.0,25.0,,,7.6,7.6,1560,1560,,,0.27,0.27,79,79,1600,1600
2599,BIHAR,25.0,25.0,,,7.6,7.6,1540,1540,,,0.08,0.08,140,140,1600,1600
2600,BIHAR,26.0,26.0,,,7.2,7.2,1060,1060,,,1.77,1.77,1600,1600,1600,1600
3140,BIHAR,25.0,25.0,,,8.0,8.0,442,442,,,,,1600,1600,1600,1600
3142,BIHAR,24.0,24.0,,,7.9,7.9,696,696,,,0.27,0.27,,,,
3143,BIHAR,27.0,27.0,,,7.6,7.6,584,584,,,0.01,0.01,,,,
3144,BIHAR,22.0,22.0,,,7.2,7.2,1090,1090,,,0.49,0.49,350,350,1600,1600
3147,BIHAR,21.0,21.0,,,7.5,7.5,596,596,,,0.23,0.23,280,280,1600,1600
3148,BIHAR,16.0,16.0,,,7.3,7.3,1120,1120,,,0.50,0.50,540,540,1600,1600
3149,BIHAR,25.0,25.0,,,7.6,7.6,1090,1090,,,0.98,0.98,,,,
3150,BIHAR,21.0,21.0,,,7.5,7.5,1120,1120,,,0.29,0.29,,,,
3151,BIHAR,24.0,24.0,,,7.4,7.4,1940,1940,,,0.44,0.44,1600,1600,1600,1600
3152,BIHAR,27.0,27.0,,,7.8,7.8,303,303,,,0.01,0.01,26,26,33,33
3153,BIHAR,23.0,23.0,,,8.0,8.0,519,519,,,0.55,0.55,,,,
3155,BIHAR,24.0,24.0,,,7.5,7.5,509,509,,,0.00,0.00,,,,
3156,BIHAR,32.0,32.0,,,7.9,7.9,1690,1690,,,,,,,,
3157,BIHAR,16.0,16.0,,,7.1,7.1,1480,1480,,,0.22,0.22,220,220,920,920
