STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,,
3214,GUJARAT,32,33,7.5,7.7,1380,1748,1.6,1.7,3.6,6.9,,,,,,
3215,GUJARAT,28,29,7.4,7.9,3220,3628,1.4,3.6,2.6,7.4,,,,,,
3216,GUJARAT,32,33,7.2,7.6,2180,2760,1,1.6,2.9,7.3,,,,,,
3217,GUJARAT,32,33,7.6,7.7,1540,2760,1,1.6,5.5,7.3,,,,,,
3218,GUJARAT,27,30,7.5,8.3,870,999,1.4,5,4.4,4.6,,,,,,
3219,GUJARAT,27,28,7.3,8.3,1220,1460,0.7,1.1,3.5,7.7,,,,,,
3220,GUJARAT,28,30,8.2,8.3,2630,2770,0,2.1,0.8,2.7,,,,,,
3221,GUJARAT,30,30,7.6,7.6,740,740,0.9,0.9,0.5,0.5,,,,,,
3222,GUJARAT,30,30,7.6,7.6,3470,3470,0.8,0.8,0.6,0.6,,,,,,
3223,GUJARAT,30,31,8,8.1,1342,1485,1.4,1.6,4.7,4.8,,,,,,
3224,GUJARAT,25,30,7.7,8.5,739,1022,1.3,2,3.7,4,,,,,,
3225,GUJARAT,30,31,7.7,8.3,960,1600,1.1,4.4,3.5,7.3,,,,,,
3226,GUJARAT,25,30,8.1,8.6,1625,1783,1.6,3,3.5,5,,,,,,
3227,GUJARAT,30,30,7.2,7.6,1645,1750,1.4,1.9,2.2,4.9,,,,,,
3228,GUJARAT,30,32,7.2,7.7,1599,2580,0.7,1.5,1.1,2.6,,,2,2,,
3229,GUJARAT,29,32,7.2,7.6,990,1459,0,3.1,1.4,1.9,,,2,2,,
3230,GUJARAT,20,24,7.2,8.2,4470,4500,1.2,1.6,1.1,1.1,,,,,,
3231,GUJARAT,27,27,8,8.2,1072,1158,2.2,4.9,0,1.2,12,12,38,39,,
3232,GUJARAT,26,28,7.8,8.1,1941,2206,0.9,1.2,0,0,8,141,8,345,,
3233,GUJARAT,25,27,8.1,8.2,2604,2667,1,1,0,0,8,8,13,13,,
3234,GUJARAT,30,30,7.1,7.4,7940,10013,5.6,6.1,4.9,13.1,,,2,2,,
3235,GUJARAT,29,30,7.3,7.6,2406,3316,1.4,3,2.5,5.3,,,,,,
3236,GUJARAT,28,30,7.7,8.4,1792,1880,1.5,1.5,1.9,4,,,,,,
3237,GUJARAT,28,28,7.3,7.3,6390,6586,1.4,1.5,2,2.4,,,,,,
3238,GUJARAT,30,30,7.8,7.9,4390,4970,0.5,2.1,1.7,3,,,2,2,,
3239,GUJARAT,30,31,7.7,7.9,3160,3160,1,2.2,1.5,2.4,,,2,2,,
3240,GUJARAT,27,28,7.3,8,789,1490,1.2,1.3,0.9,1.2,,,2,2,,
3241,GUJARAT,26,28,7.6,7.9,1117,7730,1.3,2,1.1,1.2,,,,,,
3242,GUJARAT,29,30,7.1,7.2,1320,1354,1.3,2.2,0.2,0.3,,,,,,
3243,GUJARAT,29,30,7.6,7.6,2120,2240,1.2,2,0,0,,,,,,
3244,GUJARAT,29,29,7.9,7.9,3180,3180,,,1.2,1.2,,,,,,
3245,GUJARAT,25,30,7.3,7.5,4690,5500,0.8,1.8,0,1.2,,,,,,
3246,GUJARAT,28,28,7.6,7.7,1420,2458,0.4,0.4,0.4,0.4,,,,,,
3247,GUJARAT,28,29,7.5,7.9,1855,3628,0.4,0.4,0.4,0.5,,,,,,
1555,HIMACHAL PRADESH,22,22,7.4,7.6,743,840,0.1,0.1,0.3,0.5,,,3.7,3.7,,
1556,HIMACHAL PRADESH,21,21,7.1,7.7,780,910,0.1,0.1,0.3,0.6,,,,,,
1558,HIMACHAL PRADESH,17.6,19.5,8,8.6,826,1236,0.1,0.1,0,16.9,,,,,,
1560,HIMACHAL PRADESH,16,18.9,8,8.6,469,1963,0.1,0.1,0,4.4,,,3.7,3.7,,
1559,HIMACHAL PRADESH,21.2,21.2,7.9,7.9,748,748,0.6,0.6,0,0,,,5.5,5.5,,
1561,HIMACHAL PRADESH,17,17,7.2,7.7,478,716,0.1,0.2,0,0,,,,,,
1562,HIMACHAL PRADESH,14,14,7.5,7.8,725,1067,0.1,0.4,0.1,0.2,,,2,2,,
1872,HIMACHAL PRADESH,9,20,6.8,8.4,409,686,2.6,18,0,12.3,3.6,40,22,220,,
1873,HIMACHAL PRADESH,18,18,6.3,7.8,249,312,0.2,0.4,0.1,0.2,,,,,,
1874,HIMACHAL PRADESH,,,7.4,8.7,103,679,0.1,1.2,0,4.6,,,12,26,,
1877,HIMACHAL PRADESH,18,20.2,7.5,8,803,829,0.1,0.6,0,13.8,,,,,,
1878,HIMACHAL PRADESH,18.5,19.8,7.4,8.1,681,1862,0.1,0.2,0,15.6,,,,,,
1879,HIMACHAL PRADESH,21,21,7.8,7.8,761,761,0.2,0.2,0,0,,,,,,
